,cifar10_accuracy,cifar10_accuracy_ci,cifar10.2-test_accuracy,cifar10.2-test_accuracy_ci,pretrained,model_family,model_hparams
612,0.5188,"(0.5089528313186642, 0.5286362141217223)",0.364,"(0.34287543645863927, 0.3855240542389815)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
613,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 1e+23, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
614,0.8533,"(0.8462127074869762, 0.8601808612041365)",0.707,"(0.686509846560886, 0.7268815745912536)",False,PNASNetA,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
615,0.6994,"(0.6903060562952466, 0.7083776857267639)",0.496,"(0.4738571260634867, 0.518154616900333)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
616,0.2312,"(0.22296599883783935, 0.23959082198304638)",0.1835,"(0.16675948175748415, 0.20117365994102)",False,RidgeClassifier,"{'alpha': 2.5950242113997427e+22, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
617,0.3678,"(0.35833856252238655, 0.3773384876503403)",0.283,"(0.2633381012548563, 0.3032999844104609)",False,RidgeClassifier,"{'alpha': 1.4174741629268048, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
618,0.3638,"(0.3543615671058206, 0.3733178156628849)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 0.006428073117284319, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
619,0.4652,"(0.4553852783001206, 0.47503499952259864)",0.3265,"(0.3059653076616897, 0.3475445394630804)",False,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'scale_features': True}"
620,0.9491,"(0.9446095418878069, 0.9533265513191856)",0.832,"(0.8148812291396851, 0.8481392787740062)",False,SENet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
621,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 49770235643.32094, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
622,0.8926,"(0.8863668025179522, 0.8986034958291839)",0.758,"(0.7386093869113683, 0.7766313286251847)",False,RegNetX_200MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
623,0.9049,"(0.89898186682799, 0.9105810943338671)",0.781,"(0.7622197658632257, 0.7989527583443846)",False,ShuffleNetV2_1,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
624,0.7049,"(0.6958520899564421, 0.7138284407124498)",0.4935,"(0.47136194480806437, 0.5156571375228938)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
625,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
626,0.7959,"(0.7878648609588553, 0.8037624449070624)",0.656,"(0.6347138542362557, 0.6768278164575006)",False,ResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
627,0.7582,"(0.7496834716474928, 0.7665659099858472)",0.613,"(0.5912508548398052, 0.634417276963656)",False,LeNet,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
628,0.6574,"(0.6480036222199814, 0.6667046300637727)",0.516,"(0.493838276433975, 0.5381147513787066)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 3.511191734215127e-05, 'momentum': 0.4951515151515151, 'weight_decay': 0.00041320124001153346, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.6638775510204081}"
629,0.5812,"(0.5714577811830963, 0.5908949004097448)",0.404,"(0.38239868978962244, 0.4258832198173498)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
630,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PNASNetB,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
631,0.9778,"(0.9747192955602746, 0.980597873775296)",0.893,"(0.8786221353028817, 0.9062136836698658)",True,imgnt_se_resnext101_32x4d,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
632,0.2534,"(0.24489776583171377, 0.2620460683066066)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 68926.12104349709, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
633,0.485,"(0.47516016055776167, 0.4948485797673149)",0.3435,"(0.3226801188590842, 0.3647796819142144)",False,SVM,"{'kernel': 'poly', 'C': 10, 'gamma': 'scale', 'scale_features': True}"
634,0.9238,"(0.91842544908062, 0.9289261515681622)",0.775,"(0.75605300944368, 0.7931373209192276)",False,ResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
635,0.5502,"(0.5403862592018537, 0.5599844889383016)",0.4065,"(0.38487389798067284, 0.4284006661885412)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
636,0.9315,"(0.9263722333905124, 0.9363746955104576)",0.8005,"(0.7823010304947466, 0.8178135252660262)",False,DenseNet169,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
637,0.952,"(0.9476267037712518, 0.9561075732441215)",0.827,"(0.8096970003141186, 0.843338476722342)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
638,0.2526,"(0.24410690600527918, 0.2612373959064517)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 21544346900318.777, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
639,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.5199110829529332e-05, 'momentum': 0.99, 'weight_decay': 5.336699231206307, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.2326530612244898}"
640,0.3108,"(0.3017350390625723, 0.31997526444835955)",0.2355,"(0.21705263454327217, 0.25472590408530427)",False,AdaBoost,"{'n_estimators': 50, 'learning_rate': 1.0, 'algorithm': 'SAMME.R', 'scale_features': True}"
641,0.5187,"(0.508852786921476, 0.52853631678841)",0.37,"(0.34879414473582, 0.39158770137034793)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
