,cifar10_accuracy,cifar10_accuracy_ci,cifar10.2-test_accuracy,cifar10.2-test_accuracy_ci,pretrained,model_family,model_hparams
0,0.6551,"(0.6456894668728717, 0.6644201270832805)",0.516,"(0.493838276433975, 0.5381147513787066)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
1,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
2,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 4.037017258596558e-05, 'momentum': 0.9272727272727272, 'weight_decay': 236.4489412645407, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1553061224489796}"
3,0.3048,"(0.295785745572225, 0.31392806039365595)",0.2205,"(0.20250058483290795, 0.23932243819333598)",False,RandFeaturesCoatesNg_2to1,"{'num_filters': 2, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
4,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1747528400007683, 'momentum': 0.8171717171717171, 'weight_decay': 5.336699231206307, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.3510204081632653}"
5,0.8603,"(0.853350364404295, 0.867039073517552)",0.72,"(0.699759381548924, 0.7395936771370433)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
6,0.3638,"(0.3543615671058206, 0.3733178156628849)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 3.853528593710527e-06, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
7,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 3.0538555088334123e+19, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
8,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 1450828778495.943, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
9,0.6934,"(0.6842575899264652, 0.7024296548949669)",0.5385,"(0.516359015027554, 0.5605279540465822)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
10,0.9223,"(0.9168792536152189, 0.9274732536538934)",0.7915,"(0.7730250722661758, 0.8091162581278932)",False,RegNetX_200MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
11,0.9226,"(0.9171884463148537, 0.9277638797118638)",0.7895,"(0.7709655632515451, 0.8071817122534377)",True,imgnt_vgg11,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
12,0.9167,"(0.9111117434195708, 0.9220441400737518)",0.7865,"(0.7678775069142669, 0.8042786831622569)",False,ResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
13,0.3791,"(0.3695773364632049, 0.38869312475034257)",0.282,"(0.2623607214854141, 0.3022803158712427)",False,RidgeClassifier,"{'alpha': 0.0004328761281083057, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
14,0.9073,"(0.901446615238578, 0.9129149098704221)",0.763,"(0.7437355559366335, 0.7814903498333549)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
15,0.4731,"(0.46327340701241604, 0.4829422674086511)",0.3375,"(0.3167773438058944, 0.35870011665381674)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
16,0.9148,"(0.909156596631938, 0.9202004295894443)",0.775,"(0.75605300944368, 0.7931373209192276)",False,ResNeXt29_2x64d,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
17,0.7297,"(0.7208794498848944, 0.7383865944195177)",0.5775,"(0.5555012719001451, 0.5992711673307507)",True,imgnt_pnasnet5large,"{'num_classes': 10, 'input_size': (32, 32), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
18,0.2531,"(0.24460118892502888, 0.2617428206265914)",0.196,"(0.17880792055479958, 0.2140879461969315)",False,RidgeClassifier,"{'alpha': 1e+20, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
19,0.7728,"(0.7644585042446945, 0.7809823335464675)",0.5825,"(0.5605294024052616, 0.6042283495582086)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1.0, 'zca': False, 'tot_patches': 100000}"
20,0.364,"(0.3545604001985763, 0.37351886593742056)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 0.01, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
21,0.3772,"(0.36768724534418273, 0.3867843236859505)",0.2795,"(0.2599177986840432, 0.29973061874046136)",False,RidgeClassifier,"{'alpha': 1023531.0218990268, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
22,0.7009,"(0.6918184574809048, 0.7098644087615967)",0.519,"(0.4968384715180706, 0.5411057488368056)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
23,0.6956,"(0.6864751504895584, 0.7046108100302746)",0.536,"(0.5138545100385176, 0.5580397992902555)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
24,0.2461,"(0.2376825976677981, 0.2546655054674902)",0.2025,"(0.18508405316638257, 0.22079246213030213)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
25,0.9044,"(0.8984685193859446, 0.9100947407541762)",0.7685,"(0.74937844841361, 0.7868311577840096)",False,ShuffleNetV2_1,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
26,0.3638,"(0.3543615671058206, 0.3733178156628849)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 0.1873817422860383, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
27,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1519911082952933, 'momentum': 0.30696969696969695, 'weight_decay': 1.7886495290574351, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.13714285714285715}"
28,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 42292428743894.99, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
29,0.8864,"(0.8800177090237262, 0.8925562756218632)",0.743,"(0.7232514641441086, 0.7620336388453601)",True,imgnt_alexnet,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
30,0.3642,"(0.3547592350506288, 0.3737199144530091)",0.2855,"(0.2657820739181261, 0.3058486333417786)",False,RidgeClassifier,"{'alpha': 1.9630406500402726e-06, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
31,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 12915496650.148827, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
32,0.6967,"(0.6875840219168434, 0.7057012964270957)",0.506,"(0.48384332282311204, 0.5281390627207867)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
33,0.4234,"(0.41368935504589915, 0.43315528231186307)",0.324,"(0.30350980660861976, 0.3450074031543293)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
34,0.9129,"(0.9072022616819074, 0.9183559059865167)",0.775,"(0.75605300944368, 0.7931373209192276)",False,MobileNetV2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
35,0.2529,"(0.24440347396727788, 0.26154065252771863)",0.1965,"(0.1792904408465315, 0.2146039366087824)",False,RidgeClassifier,"{'alpha': 5.994842503189421e+19, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
36,0.7313,"(0.7224952691215922, 0.7399698401987894)",0.551,"(0.5288898334770118, 0.5729604322543536)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
37,0.1605,"(0.15335521333981197, 0.16784308731302555)",0.1445,"(0.1293705460223552, 0.16067957110428777)",False,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 'auto', 'scale_features': True}"
38,0.3943,"(0.3847036039968409, 0.40395799549811817)",0.2885,"(0.26871582103704733, 0.30890603365536573)",False,RidgeClassifier,"{'alpha': 0.01, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
39,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
40,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
41,0.9096,"(0.9038097497695422, 0.9151503975653823)",0.773,"(0.7539986320167726, 0.7911976308937752)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
42,0.2418,"(0.23343409001415286, 0.2503165283525072)",0.212,"(0.19426962185143867, 0.23057864490009738)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
43,0.2665,"(0.2578534321295238, 0.2752827442356487)",0.223,"(0.20492359063260462, 0.24189201294899554)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
44,0.7027,"(0.6936334904956745, 0.7116483247681025)",0.4935,"(0.47136194480806437, 0.5156571375228938)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
45,0.3449,"(0.33557987291671953, 0.35431053312712835)",0.2635,"(0.24430130084426294, 0.2833943793502165)",False,RandFeaturesCoatesNg_2to1,"{'num_filters': 2, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
46,0.9531,"(0.948772226500971, 0.9571613584926588)",0.836,"(0.8190323637499601, 0.8519761557763282)",False,PreActResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
47,0.6553,"(0.645890688178788, 0.6646187891122017)",0.516,"(0.493838276433975, 0.5381147513787066)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
48,0.2431,"(0.2347184018021759, 0.2516314560956916)",0.1885,"(0.17157544124090926, 0.20634278031411413)",False,RidgeClassifier,"{'alpha': 2.718588242732929e+17, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
49,0.4105,"(0.40083569498038496, 0.42021646119356393)",0.312,"(0.29173276677193644, 0.3328197950329952)",False,PNASNetA,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
50,0.2666,"(0.257952368360501, 0.27538374956234657)",0.223,"(0.20492359063260462, 0.24189201294899554)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
51,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 1.9630406500402726e-06, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
52,0.6542,"(0.6447839935605303, 0.663526125384334)",0.5075,"(0.48534200745815076, 0.5296359744585974)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
53,0.7721,"(0.7637497958297639, 0.7802914517392686)",0.5775,"(0.5555012719001451, 0.5992711673307507)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
54,0.9194,"(0.913891556382759, 0.9246627008852021)",0.7735,"(0.7545121704150273, 0.791682609487816)",False,ResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
55,0.9419,"(0.9371347958055022, 0.9464057633508381)",0.8185,"(0.8008952979523409, 0.8351655882444406)",False,VGG13,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
56,0.5979,"(0.5882124932869298, 0.6075304541672579)",0.48,"(0.457897427459068, 0.502161288024398)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.012328467394420659, 'momentum': 0.969090909090909, 'weight_decay': 0.021544346900318846, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.28244897959183674}"
57,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.284,"(0.26431560081308053, 0.3043195333499161)",False,RidgeClassifier,"{'alpha': 1e-06, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
58,0.696,"(0.686878369415698, 0.705007357587548)",0.537,"(0.514856245836942, 0.5590351274046264)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
59,0.9194,"(0.913891556382759, 0.9246627008852021)",0.784,"(0.765305219054873, 0.8018583970784148)",False,ResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
60,0.3417,"(0.3324014999244055, 0.3510907728077386)",0.253,"(0.2340706840125309, 0.2726560438580806)",False,K_nearest_neighbors,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2, 'scale_features': True}"
61,0.7893,"(0.7811734625072636, 0.7972577115842)",0.6485,"(0.6271199424682078, 0.6694437971720906)",True,imgnt_mobilenet_v2,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
62,0.737,"(0.7282528006637916, 0.745608977360019)",0.5635,"(0.5414345467495415, 0.5853790113959294)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
63,0.9528,"(0.9484597500246831, 0.9568740238833632)",0.834,"(0.8169563726531924, 0.850058142571943)",False,DenseNet169,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
64,0.9547,"(0.9504395642722477, 0.9586930107705998)",0.837,"(0.8200706810080336, 0.8529348395113536)",False,RegNetX_400MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
65,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 319926713779738.44, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
66,0.7009,"(0.6918184574809048, 0.7098644087615967)",0.519,"(0.4968384715180706, 0.5411057488368056)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
67,0.9258,"(0.9204879626751252, 0.9308624275021495)",0.789,"(0.7704507870323283, 0.8066979744898899)",False,VGG11,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
68,0.8633,"(0.8564111023949763, 0.8699765636617891)",0.715,"(0.6946610369294564, 0.7347067802226804)",False,ShuffleNetG2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
69,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 3.511191734215127e-05, 'momentum': 0.3418181818181818, 'weight_decay': 298.364724028334, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.37326530612244896}"
70,0.6082,"(0.598552002331101, 0.6177849407486123)",0.4585,"(0.43648698908370515, 0.4806348503155846)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
71,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 1e+24, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
72,0.6852,"(0.6759942560805624, 0.6942977751165098)",0.535,"(0.5128528624578584, 0.5570443829392207)",False,DenseNet169,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
73,0.5481,"(0.5382828064516499, 0.5578891654503861)",0.3865,"(0.3650885471255065, 0.4082447907157418)",False,SVM,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto', 'scale_features': True}"
74,0.7768,"(0.768508895548263, 0.7849296003620391)",0.5875,"(0.5655598134191856, 0.6091832501315493)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 10.0, 'zca': False, 'tot_patches': 100000}"
75,0.8066,"(0.7987200149443415, 0.8143010158833823)",0.6545,"(0.633194615606336, 0.675351469332574)",False,PNASNetA,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
76,0.2539,"(0.24539207258069642, 0.26255146920674777)",0.1935,"(0.17639597819126399, 0.21150733692051948)",False,RidgeClassifier,"{'alpha': 4.5348785081285915e+20, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
77,0.5187,"(0.508852786921476, 0.52853631678841)",0.3705,"(0.3492875289770278, 0.39209284687936685)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
