,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
522,0.8436,"(0.8363308471027133, 0.8506684382381249)",0.7175,"(0.6972098348852305, 0.7371506036275297)",True,imgnt_xception,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
523,0.7641,"(0.7556525544746698, 0.7723933752349187)",0.6445,"(0.6230721728916018, 0.6655033345991836)",False,ResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
524,0.7671,"(0.758688532107824, 0.7753556420173311)",0.5995,"(0.5776421776475896, 0.6210656285564549)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
525,0.5521,"(0.5422895343086703, 0.5618801066091874)",0.409,"(0.38734968346851245, 0.4309175355939182)",False,RandFeaturesCoatesNg_2to11,"{'num_filters': 2048, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
526,0.6542,"(0.6447839935605303, 0.663526125384334)",0.517,"(0.4948382537659517, 0.5391118382364681)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
527,0.6338,"(0.6242696969986015, 0.6432523198047924)",0.535,"(0.5128528624578584, 0.5570443829392207)",False,VGG16,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6892612104349695, 'momentum': 0.8652525252525253, 'weight_decay': 0.00031257158496882353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7204081632653062}"
528,0.8989,"(0.8928248018342139, 0.9047417428405202)",0.7935,"(0.7750852330287528, 0.8110501505564042)",True,imgnt_vgg11,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
529,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.000756463327554629, 'momentum': 0.3139393939393939, 'weight_decay': 1917.910261672485, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4277551020408163}"
530,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0004977023564332114, 'momentum': 0.5927272727272728, 'weight_decay': 4862.601580065353, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.3551020408163265}"
531,0.8819,"(0.875413210202139, 0.8881634457218692)",0.7895,"(0.7709655632515451, 0.8071817122534377)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
