,cifar10_accuracy,cifar10_accuracy_ci,cifar10.1-v6_accuracy,cifar10.1-v6_accuracy_ci,pretrained,model_family,model_hparams
0,0.6551,"(0.6456894668728717, 0.6644201270832805)",0.5195,"(0.49733858077966736, 0.5416041716573048)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
1,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.6135907273413169, 'momentum': 0.8057575757575758, 'weight_decay': 0.01707352647470692, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1326530612244898}"
2,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 4.037017258596558e-05, 'momentum': 0.9272727272727272, 'weight_decay': 236.4489412645407, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1553061224489796}"
3,0.3048,"(0.295785745572225, 0.31392806039365595)",0.2365,"(0.21802394258700514, 0.2557516330323538)",False,RandFeaturesCoatesNg_2to1,"{'num_filters': 2, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
4,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1747528400007683, 'momentum': 0.8171717171717171, 'weight_decay': 5.336699231206307, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.3510204081632653}"
5,0.8603,"(0.853350364404295, 0.867039073517552)",0.7465,"(0.7268322789267186, 0.7654424722813447)",False,EfficientNetB0,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
6,0.3638,"(0.3543615671058206, 0.3733178156628849)",0.266,"(0.2467392641401549, 0.285949027597017)",False,RidgeClassifier,"{'alpha': 3.853528593710527e-06, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
7,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 3.0538555088334123e+19, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
8,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 1450828778495.943, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
9,0.6934,"(0.6842575899264652, 0.7024296548949669)",0.5415,"(0.5193651496844154, 0.5635130109162949)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
10,0.9223,"(0.9168792536152189, 0.9274732536538934)",0.823,"(0.8055532571742928, 0.8394941828745264)",False,RegNetX_200MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
11,0.9226,"(0.9171884463148537, 0.9277638797118638)",0.826,"(0.8086607653407698, 0.8423777034432192)",True,imgnt_vgg11,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
12,0.9167,"(0.9111117434195708, 0.9220441400737518)",0.8235,"(0.8060710515155808, 0.8399748937299358)",False,ResNet101,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
13,0.3791,"(0.3695773364632049, 0.38869312475034257)",0.279,"(0.25942930479476534, 0.2992205887891397)",False,RidgeClassifier,"{'alpha': 0.0004328761281083057, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
14,0.9073,"(0.901446615238578, 0.9129149098704221)",0.816,"(0.7983092186293345, 0.8327591323295809)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
15,0.4731,"(0.46327340701241604, 0.4829422674086511)",0.349,"(0.3280942302095231, 0.3703493858398602)",False,RandFeaturesCoatesNg_2to3,"{'num_filters': 8, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
16,0.9148,"(0.909156596631938, 0.9202004295894443)",0.8225,"(0.8050355119236533, 0.8390134227681354)",False,ResNeXt29_2x64d,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0016297508346206436, 'momentum': 0.8940404040404041, 'weight_decay': 4.037017258596558e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.4755102040816327}"
17,0.7297,"(0.7208794498848944, 0.7383865944195177)",0.586,"(0.5640504499653646, 0.6076970202341792)",True,imgnt_pnasnet5large,"{'num_classes': 10, 'input_size': (32, 32), 'pretrained': True, 'finetune_only_last_layer': False, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': 0.2, 'color_jitter': False}"
18,0.2531,"(0.24460118892502888, 0.2617428206265914)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 1e+20, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
19,0.7728,"(0.7644585042446945, 0.7809823335464675)",0.599,"(0.5771384798171443, 0.6205707955988297)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1.0, 'zca': False, 'tot_patches': 100000}"
20,0.364,"(0.3545604001985763, 0.37351886593742056)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 0.01, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
21,0.3772,"(0.36768724534418273, 0.3867843236859505)",0.297,"(0.2770338267418916, 0.31756295427231784)",False,RidgeClassifier,"{'alpha': 1023531.0218990268, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
22,0.7009,"(0.6918184574809048, 0.7098644087615967)",0.5475,"(0.525379808225088, 0.56948073482305)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
23,0.6956,"(0.6864751504895584, 0.7046108100302746)",0.549,"(0.5268839715405499, 0.5709721669824224)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
24,0.2461,"(0.2376825976677981, 0.2546655054674902)",0.2,"(0.18266929791843953, 0.21821465787129413)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
25,0.9044,"(0.8984685193859446, 0.9100947407541762)",0.8095,"(0.7915908571251539, 0.826496885490464)",False,ShuffleNetV2_1,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
26,0.3638,"(0.3543615671058206, 0.3733178156628849)",0.266,"(0.2467392641401549, 0.285949027597017)",False,RidgeClassifier,"{'alpha': 0.1873817422860383, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
27,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1519911082952933, 'momentum': 0.30696969696969695, 'weight_decay': 1.7886495290574351, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.13714285714285715}"
28,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 42292428743894.99, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
29,0.8864,"(0.8800177090237262, 0.8925562756218632)",0.765,"(0.7457870139870668, 0.7834329657636412)",True,imgnt_alexnet,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
30,0.3642,"(0.3547592350506288, 0.3737199144530091)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 1.9630406500402726e-06, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
31,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 12915496650.148827, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
32,0.6967,"(0.6875840219168434, 0.7057012964270957)",0.532,"(0.5098484486531984, 0.5540576048407292)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
33,0.4234,"(0.41368935504589915, 0.43315528231186307)",0.3105,"(0.2902617414325091, 0.33129524077193884)",False,RandFeaturesCoatesNg_2to2,"{'num_filters': 4, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
34,0.9129,"(0.9072022616819074, 0.9183559059865167)",0.8245,"(0.8071067881247688, 0.8409361670286303)",False,MobileNetV2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
35,0.2529,"(0.24440347396727788, 0.26154065252771863)",0.202,"(0.18460101726969713, 0.22027698589413058)",False,RidgeClassifier,"{'alpha': 5.994842503189421e+19, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
36,0.7313,"(0.7224952691215922, 0.7399698401987894)",0.5895,"(0.5675726190199927, 0.6111645688271075)",False,RandFeaturesCoatesNg_2to8,"{'num_filters': 256, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
37,0.1605,"(0.15335521333981197, 0.16784308731302555)",0.154,"(0.13844698887928367, 0.1705745186080172)",False,RandomForest,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 1, 'max_features': 'auto', 'scale_features': True}"
38,0.3943,"(0.3847036039968409, 0.40395799549811817)",0.3015,"(0.2814408470475318, 0.3221426645493647)",False,RidgeClassifier,"{'alpha': 0.01, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
39,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
40,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,ShuffleNetV2_1_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 1.0974987654930568, 'momentum': 0.8902020202020202, 'weight_decay': 0.008902150854450393, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.8836734693877552}"
41,0.9096,"(0.9038097497695422, 0.9151503975653823)",0.815,"(0.7972751163814642, 0.8317962194568076)",False,ShuffleNetV2_0_5,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.9765656565656566, 'weight_decay': 0.0022051307399030455, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1816326530612245}"
42,0.2418,"(0.23343409001415286, 0.2503165283525072)",0.21,"(0.19233459039466552, 0.22851962022114047)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
43,0.2665,"(0.2578534321295238, 0.2752827442356487)",0.2055,"(0.18798315045745098, 0.22388444001172103)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.5, 'zca': False, 'tot_patches': 100000}"
44,0.7027,"(0.6936334904956745, 0.7116483247681025)",0.525,"(0.5028412309213915, 0.5470853742367987)",False,RandFeaturesCoatesNg_2to13,"{'num_filters': 8192, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
45,0.3449,"(0.33557987291671953, 0.35431053312712835)",0.2745,"(0.25503423114450047, 0.2946289501169852)",False,RandFeaturesCoatesNg_2to1,"{'num_filters': 2, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
46,0.9531,"(0.948772226500971, 0.9571613584926588)",0.881,"(0.8659984646662285, 0.8948740978384521)",False,PreActResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
47,0.6553,"(0.645890688178788, 0.6646187891122017)",0.5195,"(0.49733858077966736, 0.5416041716573048)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
48,0.2431,"(0.2347184018021759, 0.2516314560956916)",0.197,"(0.17977300478122765, 0.21511988350097855)",False,RidgeClassifier,"{'alpha': 2.718588242732929e+17, 'normalize': True, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
49,0.4105,"(0.40083569498038496, 0.42021646119356393)",0.3305,"(0.30989548792467736, 0.35160258058012184)",False,PNASNetA,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
50,0.2666,"(0.257952368360501, 0.27538374956234657)",0.2055,"(0.18798315045745098, 0.22388444001172103)",False,RandFeaturesCoatesNg_2to0,"{'num_filters': 1, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.01, 'zca': False, 'tot_patches': 100000}"
51,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 1.9630406500402726e-06, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
52,0.6542,"(0.6447839935605303, 0.663526125384334)",0.517,"(0.4948382537659517, 0.5391118382364681)",False,RandFeaturesCoatesNg_2to6,"{'num_filters': 64, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 1e-05, 'zca': False, 'tot_patches': 100000}"
53,0.7721,"(0.7637497958297639, 0.7802914517392686)",0.5985,"(0.5766348052173997, 0.6200759393963511)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
54,0.9194,"(0.913891556382759, 0.9246627008852021)",0.8165,"(0.7988263400589799, 0.8332405182425154)",False,ResNet34,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
55,0.9419,"(0.9371347958055022, 0.9464057633508381)",0.8755,"(0.8602284642644157, 0.8896608524673012)",False,VGG13,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
56,0.5979,"(0.5882124932869298, 0.6075304541672579)",0.4605,"(0.438476938604206, 0.4826390284584918)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.012328467394420659, 'momentum': 0.969090909090909, 'weight_decay': 0.021544346900318846, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.28244897959183674}"
57,0.3637,"(0.35426215121935506, 0.3732172898658067)",0.267,"(0.24771467197009306, 0.28697066477876676)",False,RidgeClassifier,"{'alpha': 1e-06, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
58,0.696,"(0.686878369415698, 0.705007357587548)",0.5485,"(0.5263825615761271, 0.5704750451283003)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.1, 'zca': False, 'tot_patches': 100000}"
59,0.9194,"(0.913891556382759, 0.9246627008852021)",0.8345,"(0.8174752904877466, 0.8505377260984)",False,ResNet50,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.0020565123083486517, 'momentum': 0.8825252525252525, 'weight_decay': 0.00016297508346206434, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.589795918367347}"
60,0.3417,"(0.3324014999244055, 0.3510907728077386)",0.258,"(0.23894060977503545, 0.2777713301424912)",False,K_nearest_neighbors,"{'n_neighbors': 5, 'weights': 'uniform', 'p': 2, 'scale_features': True}"
61,0.7893,"(0.7811734625072636, 0.7972577115842)",0.6585,"(0.6372464290543762, 0.6792878840407301)",True,imgnt_mobilenet_v2,"{'num_classes': 10, 'input_size': (224, 224), 'pretrained': True, 'finetune_only_last_layer': True, 'batch_size': 32, 'epochs': 100, 'optimizer': 'SGD', 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0, 'lr_scheduler': 'StepLR', 'milestones': (30, 60, 80), 'gamma': 0.975, 'dropout_p': None, 'color_jitter': False}"
62,0.737,"(0.7282528006637916, 0.745608977360019)",0.601,"(0.5791534106670783, 0.6225499878152344)",False,RandFeaturesCoatesNg_2to9,"{'num_filters': 512, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
63,0.9528,"(0.9484597500246831, 0.9568740238833632)",0.8765,"(0.8612768580012872, 0.8906094161076682)",False,DenseNet169,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
64,0.9547,"(0.9504395642722477, 0.9586930107705998)",0.882,"(0.8670485826263361, 0.895820928257007)",False,RegNetX_400MF,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
65,0.2525,"(0.2440080512121438, 0.26113630917234076)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 319926713779738.44, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
66,0.7009,"(0.6918184574809048, 0.7098644087615967)",0.5475,"(0.525379808225088, 0.56948073482305)",False,RandFeaturesCoatesNg_2to7,"{'num_filters': 128, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
67,0.9258,"(0.9204879626751252, 0.9308624275021495)",0.8355,"(0.8185132858421282, 0.8514967328960443)",False,VGG11,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
68,0.8633,"(0.8564111023949763, 0.8699765636617891)",0.737,"(0.7171166459518282, 0.7561861959907797)",False,ShuffleNetG2,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.2420128264794381, 'momentum': 0.8, 'weight_decay': 2.782559402207126e-05, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.7693877551020408}"
69,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,PreActResNet18,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 3.511191734215127e-05, 'momentum': 0.3418181818181818, 'weight_decay': 298.364724028334, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.37326530612244896}"
70,0.6082,"(0.598552002331101, 0.6177849407486123)",0.4755,"(0.453412807122237, 0.49765911977014776)",False,RandFeaturesCoatesNg_2to5,"{'num_filters': 32, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.0001, 'zca': False, 'tot_patches': 100000}"
71,0.1,"(0.09418721173377065, 0.10604689990363225)",0.1,"(0.08719578355343882, 0.11398997429542912)",False,RidgeClassifier,"{'alpha': 1e+24, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
72,0.6852,"(0.6759942560805624, 0.6942977751165098)",0.5575,"(0.5354113433202747, 0.5794198350655031)",False,DenseNet169,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.023644894126454073, 'momentum': 0.872929292929293, 'weight_decay': 0.022570197196339216, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.29591836734693877}"
73,0.5481,"(0.5382828064516499, 0.5578891654503861)",0.425,"(0.40320827585918717, 0.44701194168118896)",False,SVM,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto', 'scale_features': True}"
74,0.7768,"(0.768508895548263, 0.7849296003620391)",0.6025,"(0.5806648532849259, 0.6240341373449889)",False,RandFeaturesCoatesNg_2to14,"{'num_filters': 16384, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 10.0, 'zca': False, 'tot_patches': 100000}"
75,0.8066,"(0.7987200149443415, 0.8143010158833823)",0.685,"(0.6641318375908498, 0.7053244404467454)",False,PNASNetA,"{'batch_size': 128, 'total_examples': 17500000, 'optimizer': 'SGD', 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'lr_scheduler': 'MultiStepLR', 'milestones': (7500000, 12500000), 'gamma': 0.1}"
76,0.2539,"(0.24539207258069642, 0.26255146920674777)",0.2015,"(0.18411802367840832, 0.2197614674675571)",False,RidgeClassifier,"{'alpha': 4.5348785081285915e+20, 'normalize': False, 'solver': 'auto', 'scale_features': True, 'tol': 0.001, 'fit_intercept': True}"
77,0.5187,"(0.508852786921476, 0.52853631678841)",0.3825,"(0.36113599449659906, 0.40420910111420305)",False,RandFeaturesCoatesNg_2to12,"{'num_filters': 4096, 'patch_size': 6, 'pool_size': 15, 'pool_stride': 6, 'bias': 1.0, 'filter_scale': 0.001, 'patch_distribution': 'empirical', 'regularizer': 0.001, 'zca': False, 'tot_patches': 100000}"
